类型,名称,品牌/型号,拥有数量,已投资金额（元）,用途,妈妈备注,备注
开发板,Arduino Uno R3兼容版,,1,24,,,
元器件,830孔面包板,,3,4.58,,,
元器件,杜邦线（公对公40+公对母40+母对母40）,,120,16.5,,,
元器件,LED灯（红、绿、黄、蓝、白各5个）,,25,3.96,,,
元器件,电阻包（含220Ω、1kΩ、10kΩ等常用阻值）,,300,9.86,,,
元器件,轻触按键开关,,140,11.47,,,
元器件,20K电位器,,3,5,,,
元器件,有源蜂鸣器+无源蜂鸣器,,10,7.5,,,
元器件,S8050三极管,,10,0.5,,,
元器件,面包板专用跳线包,,1,8.25,,,
传感器,DHT22温湿度传感器,,3,21,,,
传感器,光敏电阻模块,,5,19.95,,,
传感器,HC-SR04超声波测距模块,,5,15.7,,,
传感器,HC-SR501人体红外传感器,,3,13.5,,,
